,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
55,23.0,0,35396.0,1,1.3500000000000005,74.5,0.0,31.1,1,1,6.7,0.6800000000000002,0.9300000000000002,0.9300000000000002,0,4,1,1.0
56,19.2,0,56894.0,1,4.34,76.4,1.0,15.6,0,0,3.3,2.64,2.68,2.68,3,4,0,-2.7755575615628914e-17
57,20.3,0,77162.0,1,4.16,91.3,3.0,28.2,0,1,3.5,2.09,2.39,2.57,3,3,0,-2.7755575615628914e-17
58,21.7,0,25000.0,1,3.9,85.2,5.0,34.9,0,0,6.6,0.2599999999999998,0.3700000000000001,0.41999999999999993,1,1,2,1.0
59,23.1,0,25000.0,1,3.17,71.8,2.0,21.9,0,0,3.3,0.73,0.3500000000000001,0.3500000000000001,0,4,1,-2.7755575615628914e-17
60,19.9,0,25000.0,1,4.18,78.7,2.0,38.9,1,0,4.1,3.73,4.0,4.0,2,0,1,-2.7755575615628914e-17
61,20.6,1,39191.0,1,4.55,81.8,3.0,40.2,1,1,3.7,2.03,2.3,2.32,1,4,3,-2.7755575615628914e-17
62,18.6,1,25000.0,1,6.55,100.0,0.0,15.500000000000002,1,1,5.8,3.17,3.13,3.13,0,3,0,-2.7755575615628914e-17
63,18.4,1,25000.0,1,4.7,82.1,1.0,20.9,0,0,6.6,1.52,1.6800000000000002,1.71,2,3,3,-2.7755575615628914e-17
64,22.8,0,32151.0,0,4.76,85.6,1.0,13.899999999999999,0,0,6.6,1.55,1.6099999999999999,1.63,1,0,1,-2.7755575615628914e-17
65,24.0,1,31286.0,1,3.03,74.1,2.0,35.1,0,1,4.5,3.64,3.06,3.04,3,2,0,-2.7755575615628914e-17
66,20.8,1,37293.0,1,2.76,87.8,0.0,31.5,0,0,5.2,3.64,3.63,3.6799999999999997,3,4,0,-2.7755575615628914e-17
67,23.2,1,38801.0,1,2.72,93.0,2.0,10.8,1,0,6.8,4.0,4.0,4.0,2,0,1,-2.7755575615628914e-17
68,21.8,1,36430.0,1,3.61,80.8,1.0,22.2,0,0,4.5,1.9,1.48,1.48,0,3,2,-2.7755575615628914e-17
69,19.6,0,33396.0,1,4.08,86.9,4.0,33.7,0,0,3.9,2.82,2.97,2.97,0,3,3,-2.7755575615628914e-17
70,21.8,0,30744.0,1,4.28,86.6,3.0,31.4,0,1,4.3,2.02,2.32,2.28,3,1,0,-2.7755575615628914e-17
71,24.4,0,44305.0,1,2.94,82.6,1.0,44.5,0,0,4.4,3.87,3.54,3.55,2,2,0,-2.7755575615628914e-17
72,20.9,0,25000.0,1,1.0900000000000003,92.3,1.0,16.2,1,0,5.6,2.5,2.33,2.33,0,0,0,-2.7755575615628914e-17
73,24.4,0,75102.0,1,3.45,75.6,2.0,29.9,1,0,5.5,4.0,4.0,4.0,0,3,0,-2.7755575615628914e-17
74,17.0,1,25000.0,0,5.22,75.0,1.0,18.0,0,0,5.2,4.0,4.0,3.97,3,2,2,-2.7755575615628914e-17
75,22.8,1,25000.0,1,3.51,82.0,2.0,31.3,1,0,4.1,2.35,2.56,2.52,1,4,0,-2.7755575615628914e-17
76,21.2,0,49930.34772618157,1,3.7878830312078926,79.0,2.0,27.8,0,0,5.509300584469908,3.72,3.67,3.59,2,4,0,-2.7755575615628914e-17
77,20.3,1,44514.0,1,1.9299999999999997,58.7,3.0,33.3,1,0,6.7,1.88,1.8,1.8,0,4,0,1.0
78,21.2,1,25000.0,1,4.16,76.1,2.0,25.1,0,0,6.1,0.7,1.08,1.27,3,3,1,-2.7755575615628914e-17
79,17.0,0,29235.0,1,4.53,65.0,0.0,39.1,0,1,4.7,1.57,1.17,1.17,0,2,1,-2.7755575615628914e-17
80,20.5,1,52653.85764946015,0,3.523555660218185,79.4,2.0,21.4,0,0,5.524055948060319,2.06,1.85,1.85,0,2,2,-2.7755575615628914e-17
81,21.8,1,53998.0,1,5.25,87.7,1.0,17.8,0,0,7.7,0.8700000000000001,0.76,0.76,0,2,2,-2.7755575615628914e-17
82,24.3,1,25000.0,1,5.56,82.4,2.0,32.7,0,1,5.4,0.8300000000000001,0.8599999999999999,0.8900000000000001,2,3,0,-2.7755575615628914e-17
83,19.9,1,25000.0,1,6.75,83.1,0.0,52.2,0,0,5.5,1.96,1.86,1.86,3,4,2,-2.7755575615628914e-17
84,19.2,1,25000.0,1,2.8,80.8,2.0,11.7,0,0,8.2,3.0,3.11,3.11,3,0,0,-2.7755575615628914e-17
85,19.9,1,25000.0,1,4.37,83.7,0.0,16.3,0,0,7.4,3.03,2.94,2.94,1,3,2,-2.7755575615628914e-17
86,23.0,0,25000.0,1,2.46,100.0,1.0,32.8,0,1,4.3,3.12,3.19,3.2,2,0,2,-2.7755575615628914e-17
87,21.7,0,25000.0,1,4.79,79.2,3.0,43.5,1,0,7.4,1.22,1.44,1.42,3,2,2,1.0
88,19.8,1,47767.90374930107,1,4.03789798339343,81.9,0.0,33.7,0,0,5.99344035870293,2.96,2.79,2.7,2,0,1,1.0
89,22.1,0,32176.0,1,1.4900000000000002,75.1,1.0,22.7,0,0,3.6,2.96,2.94,2.94,0,4,0,-2.7755575615628914e-17
90,21.2,1,39933.0,1,4.35,66.8,1.0,35.0,0,0,7.8,2.37,2.7,2.64,2,0,1,-2.7755575615628914e-17
91,23.1,1,33807.0,0,3.74,84.1,0.0,36.2,1,0,4.2,0.75,0.6400000000000001,0.6699999999999999,3,1,1,1.0
92,19.5,1,32651.242050026165,0,4.860447342268806,91.1,3.0,21.8,0,0,3.55245645979603,3.54,3.8,3.8,0,2,1,-2.7755575615628914e-17
93,20.3,0,50359.0,1,3.62,100.0,0.0,39.9,0,0,4.8,3.28,3.6800000000000006,3.63,2,1,1,-2.7755575615628914e-17
94,20.1,1,25000.0,1,6.68,80.5,3.0,29.6,0,1,9.2,0.32000000000000006,0.009999999999999787,0.009999999999999787,0,0,1,-2.7755575615628914e-17
95,17.8,0,25000.0,1,4.75,79.9,0.0,9.0,0,0,3.8,0.31000000000000005,0.3999999999999999,0.42999999999999994,3,2,2,1.0
96,21.7,0,45843.30403996888,1,4.761198535607472,74.5,0.0,28.4,1,0,5.587566389323072,1.52,1.5,1.5,3,2,0,-2.7755575615628914e-17
97,21.6,0,29331.0,0,3.57,95.7,4.0,23.2,0,0,4.9,2.78,2.59,2.62,1,1,3,-2.7755575615628914e-17
98,21.0,0,25000.0,1,1.48,72.1,2.0,45.7,0,1,6.4,1.86,2.13,2.13,0,3,3,-2.7755575615628914e-17
99,20.5,0,51391.0,1,2.6,87.3,0.0,14.100000000000001,1,1,5.4,1.29,1.4,1.4,1,2,1,-2.7755575615628914e-17
100,17.9,1,97535.0,1,6.19,96.6,1.0,24.2,0,1,4.3,4.0,4.0,4.0,2,1,2,1.0
101,20.1,1,54297.83118237408,1,3.6962647750808935,80.0,2.0,33.1,1,1,5.9969749097059095,2.3,2.29,2.3,2,4,1,-2.7755575615628914e-17
102,20.2,0,31276.0,1,4.59,72.7,1.0,59.0,1,0,7.9,2.1,2.3,2.3,0,3,0,-2.7755575615628914e-17
103,19.2,0,49497.0,1,4.51,88.3,2.0,53.5,0,1,2.6,3.2,3.28,3.24,3,1,0,-2.7755575615628914e-17
104,20.6,1,25000.0,1,5.84,71.2,2.0,29.5,0,0,4.3,1.92,1.95,1.92,3,4,0,-2.7755575615628914e-17
105,21.9,1,30245.0,1,4.42,91.5,0.0,34.2,1,0,6.4,1.36,1.01,1.01,0,0,2,-2.7755575615628914e-17
106,25.1,1,29745.549036255565,1,4.617615332555107,97.9,4.0,37.2,1,1,4.876464845419569,3.55,3.36,3.36,0,3,2,1.0
107,21.4,1,29136.98750806144,1,4.288177443808958,63.0,3.0,17.9,1,0,6.009708740539071,1.82,1.7199999999999998,1.66,1,3,1,1.0
108,21.6,1,37218.681627095204,0,4.418236432157032,95.3,1.0,30.1,0,0,6.6271092468331405,1.35,1.44,1.55,1,4,0,-2.7755575615628914e-17
109,20.8,0,26596.0,1,3.64,87.1,2.0,46.3,0,0,6.6,1.59,1.43,1.43,1,1,0,-2.7755575615628914e-17
110,17.0,0,28669.0,0,6.21,93.1,0.0,31.7,0,1,6.4,3.82,4.0,4.0,0,1,0,-2.7755575615628914e-17
111,20.9,1,25000.0,0,2.63,76.8,1.0,53.4,1,0,6.8,0.96,1.19,1.19,0,1,0,1.0
112,21.1,0,104579.0,1,3.34,87.0,2.0,24.7,1,0,6.1,2.47,2.67,2.68,2,4,2,-2.7755575615628914e-17
113,26.4,0,25000.0,1,1.63,83.9,2.0,28.9,0,0,4.9,1.34,2.12,2.13,1,0,1,1.0
114,20.6,1,25000.0,1,5.31,75.7,1.0,29.0,1,0,7.2,1.81,1.49,1.49,3,1,1,-2.7755575615628914e-17
115,21.7,1,28108.0,1,4.45,79.2,3.0,14.4,0,1,4.6,3.06,2.83,2.83,0,1,0,-2.7755575615628914e-17
116,20.9,0,51263.0,1,6.26,86.6,0.0,43.3,0,1,5.2,2.45,2.48,2.48,3,2,1,-2.7755575615628914e-17
117,18.4,0,30045.0,0,3.17,73.0,2.0,26.0,1,0,2.5,3.4,2.71,2.69,3,4,2,-2.7755575615628914e-17
118,23.5,1,39789.0,1,2.97,72.4,2.0,33.1,1,1,4.6,2.9,2.99,2.96,2,4,0,-2.7755575615628914e-17
119,22.7,0,33885.47400218499,1,3.983204339885934,56.8,0.0,22.8,1,1,6.126232593643795,0.5,0.0,0.0,0,3,2,-2.7755575615628914e-17
120,22.7,1,72592.0,0,4.59,75.8,3.0,50.7,0,1,5.5,2.31,1.81,1.83,1,0,0,1.0
121,19.0,1,41649.0,1,3.54,84.3,4.0,44.8,0,0,7.2,2.54,2.61,2.67,1,3,1,1.0
122,24.1,1,55749.0,1,4.39,77.9,0.0,30.7,0,0,4.7,0.0,0.0,0.0,3,0,0,-2.7755575615628914e-17
123,17.9,1,37016.0,1,3.45,92.2,1.0,15.3,1,0,4.8,1.42,1.18,1.18,0,2,0,-2.7755575615628914e-17
124,22.3,0,48773.0,1,5.87,70.4,2.0,38.9,0,0,4.5,1.96,1.85,1.87,3,0,1,1.0
125,25.8,0,25000.0,1,5.64,86.1,3.0,43.0,1,0,5.9,3.4,3.39,3.41,3,4,2,-2.7755575615628914e-17
126,18.8,1,25000.0,1,4.11,79.1,1.0,18.9,1,0,8.3,2.14,1.9,1.92,1,2,2,-2.7755575615628914e-17
127,19.8,0,66695.0,1,5.37,81.2,0.0,28.3,0,0,1.2999999999999998,3.86,4.0,4.0,0,4,0,-2.7755575615628914e-17
128,21.2,0,75799.0,1,3.83,87.5,1.0,30.9,0,1,4.6,1.93,1.85,1.8,1,0,1,-2.7755575615628914e-17
129,19.9,1,25000.0,1,3.94,60.9,2.0,43.0,0,0,4.9,1.89,1.9,1.92,2,0,1,1.0
130,17.6,0,34539.0,1,1.19,64.9,1.0,28.2,0,0,1.7000000000000002,1.94,1.85,1.93,2,1,0,-2.7755575615628914e-17
131,21.2,1,25000.0,1,4.66,81.5,2.0,41.5,0,0,5.3,1.7,1.5,1.5,3,2,0,-2.7755575615628914e-17
132,18.7,0,25000.0,1,4.03,80.2,2.0,20.7,0,1,4.9,2.3,2.28,2.28,0,0,1,-2.7755575615628914e-17
133,22.0,1,35274.0,1,5.14,70.6,3.0,17.300000000000004,0,0,4.7,2.45,2.56,2.56,0,3,1,-2.7755575615628914e-17
134,19.0,0,58958.0,1,4.93,98.0,1.0,52.0,0,0,3.5,2.8,2.78,2.72,3,4,2,-2.7755575615628914e-17
135,24.4,1,38988.0,1,3.03,72.7,1.0,14.300000000000002,1,1,5.3,1.89,1.78,1.79,2,3,2,-2.7755575615628914e-17
136,19.3,0,25000.0,1,3.75,77.7,2.0,21.0,1,0,3.4,2.18,2.3,2.29,2,2,3,-2.7755575615628914e-17
137,20.3,0,40494.0,0,3.38,91.2,2.0,39.4,0,1,4.0,1.9,1.89,1.88,1,2,0,-2.7755575615628914e-17
138,22.8,1,25000.0,1,5.36,76.6,3.0,23.6,0,0,5.1,3.36,3.88,3.95,2,0,0,-2.7755575615628914e-17
139,18.3,1,38073.0,1,6.05,75.1,1.0,23.3,0,0,7.3,1.17,0.8900000000000001,1.01,2,1,1,-2.7755575615628914e-17
140,21.5,1,68726.0,1,5.04,85.1,1.0,27.6,1,0,6.2,0.72,0.8700000000000001,0.8300000000000001,2,2,0,1.0
141,23.9,0,25000.0,0,6.58,76.1,1.0,5.0,0,0,6.6,3.6,3.93,3.93,0,2,0,-2.7755575615628914e-17
142,17.5,1,47971.0,1,4.68,85.2,2.0,43.4,0,0,9.0,3.09,3.01,2.96,1,4,0,-2.7755575615628914e-17
143,21.4,0,25000.0,1,2.73,86.1,1.0,32.1,0,1,6.3,2.39,2.62,2.63,2,1,1,-2.7755575615628914e-17
144,21.6,1,62131.0,1,2.2,85.0,4.0,20.3,1,0,3.6,0.8999999999999999,0.97,0.97,3,0,1,-2.7755575615628914e-17
145,22.7,1,25000.0,1,2.8,91.4,3.0,9.399999999999999,0,1,4.5,2.11,2.71,2.73,1,3,2,-2.7755575615628914e-17
146,18.3,1,25000.0,1,3.41,78.9,1.0,13.600000000000001,0,1,4.0,1.81,1.98,1.91,1,1,1,-2.7755575615628914e-17
147,18.1,1,45124.0,1,3.12,78.0,0.0,10.899999999999999,0,1,5.3,2.68,2.23,2.27,1,3,2,-2.7755575615628914e-17
148,22.1,0,36994.0,1,4.07,81.3,3.0,32.7,0,0,4.8,2.89,3.07,3.09,1,4,1,-2.7755575615628914e-17
149,21.7,0,25000.0,1,3.77,59.4,5.0,32.8,0,0,3.8,3.15,3.26,3.26,0,2,0,-2.7755575615628914e-17
150,21.6,1,25000.0,1,4.1,83.7,0.0,37.3,1,1,7.2,2.21,2.55,2.53,3,2,1,-2.7755575615628914e-17
151,21.8,0,26569.0,1,7.17,79.4,2.0,38.8,1,1,7.3,0.9199999999999999,1.25,1.25,0,1,0,-2.7755575615628914e-17
152,19.5,1,25000.0,1,5.14,85.1,1.0,37.5,1,1,5.8,3.84,3.78,3.86,3,3,2,-2.7755575615628914e-17
153,21.5,0,25000.0,1,4.35,74.8,1.0,48.5,0,0,3.7,3.68,3.49,3.42,1,0,0,-2.7755575615628914e-17
154,21.6,1,31868.0,1,5.38,92.8,4.0,44.3,0,1,5.7,4.0,4.0,4.0,0,1,0,-2.7755575615628914e-17
155,19.4,0,25000.0,0,2.95,80.3,2.0,41.5,1,0,4.4,3.72,3.87,3.87,0,1,2,-2.7755575615628914e-17
156,25.1,0,38404.0,1,2.9,88.7,1.0,32.8,0,0,7.8,0.6300000000000001,0.8799999999999999,0.8799999999999999,0,1,3,1.0
157,22.0,1,72699.0,1,5.19,77.9,2.0,38.6,0,0,3.3,3.6,3.55,3.55,0,4,2,-2.7755575615628914e-17
158,18.4,0,27197.0,1,4.0,85.7,2.0,25.1,0,0,6.7,2.34,2.45,2.42,2,3,1,-2.7755575615628914e-17
159,22.4,1,32148.0,1,4.16,69.6,0.0,27.3,1,1,6.6,1.7,1.54,1.54,0,1,1,-2.7755575615628914e-17
160,18.9,1,99793.0,1,2.51,64.4,4.0,50.7,0,1,7.1,2.51,2.29,2.29,0,4,1,-2.7755575615628914e-17
161,22.7,1,25000.0,1,3.38,80.3,1.0,23.3,0,0,5.9,2.79,2.78,2.77,2,1,2,-2.7755575615628914e-17
162,23.5,1,60763.0,1,3.47,81.8,1.0,22.4,1,0,4.9,1.29,1.09,1.16,1,2,0,-2.7755575615628914e-17
163,19.2,1,56529.0,1,3.37,81.2,1.0,25.7,0,0,9.8,1.17,1.01,1.06,1,1,0,1.0
164,23.1,1,49642.0,1,6.79,79.7,3.0,23.4,1,0,3.9,2.11,2.14,2.18,2,4,2,-2.7755575615628914e-17
165,21.9,1,64541.0,1,6.76,78.8,2.0,24.4,0,0,6.8,2.74,2.61,2.62,2,2,0,-2.7755575615628914e-17
166,22.8,1,35184.0,1,5.48,87.4,1.0,32.9,1,1,5.5,2.56,3.08,3.08,0,0,1,-2.7755575615628914e-17
167,25.2,0,25000.0,1,4.13,96.3,0.0,33.3,0,0,6.1,2.24,2.25,2.24,2,3,1,1.0
168,20.5,0,57339.0,1,3.24,100.0,2.0,40.9,0,1,6.1,4.0,4.0,4.0,1,0,0,-2.7755575615628914e-17
169,19.3,1,58671.0,1,2.6500000000000004,90.8,1.0,56.3,1,0,3.6,4.0,3.78,3.81,2,0,0,-2.7755575615628914e-17
170,19.0,1,57710.0,1,4.44,63.7,0.0,25.6,1,1,3.1,0.9100000000000001,1.01,0.97,2,4,0,-2.7755575615628914e-17
171,19.2,1,30537.0,0,5.66,90.4,0.0,29.2,1,1,3.2,4.0,3.73,3.73,3,3,0,-2.7755575615628914e-17
172,20.8,0,25000.0,1,5.01,90.3,3.0,7.899999999999999,0,0,4.7,4.0,3.7,3.7,1,2,0,-2.7755575615628914e-17
173,21.8,0,33350.0,1,4.13,81.2,1.0,14.5,1,1,5.9,1.01,0.8000000000000003,0.8,0,3,1,-2.7755575615628914e-17
174,21.6,1,52331.0,1,4.87,89.4,2.0,28.2,0,1,4.3,3.97,3.53,3.54,2,3,1,-2.7755575615628914e-17
175,22.8,1,54974.0,0,3.98,84.9,1.0,35.6,0,0,2.9,2.24,2.68,2.68,0,4,2,-2.7755575615628914e-17
176,21.0,1,25000.0,1,3.64,81.9,0.0,35.9,0,0,7.2,2.22,2.25,2.23,1,1,0,-2.7755575615628914e-17
177,24.2,1,35926.0,1,2.68,84.0,4.0,37.4,0,0,2.7,1.21,1.66,1.71,1,1,1,-2.7755575615628914e-17
178,20.4,0,25000.0,1,3.57,77.6,1.0,45.1,0,0,6.4,2.34,2.05,1.99,3,1,0,-2.7755575615628914e-17
179,27.0,0,53689.0,1,4.39,67.3,2.0,50.5,1,0,4.1,3.47,3.57,3.54,2,1,0,-2.7755575615628914e-17
180,22.4,1,25000.0,1,3.46,67.0,6.0,27.1,0,1,7.7,0.020000000000000018,0.29000000000000004,0.29000000000000004,0,3,0,1.0
181,19.1,0,47627.0,1,2.51,89.3,5.0,20.4,0,0,4.6,2.01,2.09,2.11,2,4,1,-2.7755575615628914e-17
182,18.6,1,25000.0,1,4.15,73.8,1.0,37.9,0,0,2.3,2.55,2.26,2.26,0,0,0,-2.7755575615628914e-17
183,22.1,1,55207.0,0,4.39,69.8,2.0,41.2,0,0,5.4,3.18,2.81,2.8,1,1,1,-2.7755575615628914e-17
184,20.5,0,36066.0,1,3.52,69.6,3.0,31.6,1,1,4.0,1.87,1.74,1.77,1,4,0,-2.7755575615628914e-17
185,22.6,0,25000.0,1,3.97,78.2,0.0,27.9,0,1,7.0,2.61,2.35,2.32,1,3,2,-2.7755575615628914e-17
186,22.0,1,45018.0,1,0.71,94.1,1.0,24.0,0,1,6.1,1.06,1.43,1.41,2,0,2,-2.7755575615628914e-17
187,20.8,1,25000.0,1,4.96,80.8,1.0,29.5,1,0,4.4,3.54,3.43,3.43,1,2,1,-2.7755575615628914e-17
188,19.1,0,46618.0,1,4.37,70.6,2.0,38.3,0,1,3.7,4.0,3.93,4.0,1,0,0,-2.7755575615628914e-17
189,17.7,0,25224.0,0,5.84,93.9,1.0,22.0,1,0,3.5,3.77,3.79,3.73,3,3,0,-2.7755575615628914e-17
190,20.0,1,25000.0,1,3.72,84.6,1.0,20.4,0,0,4.4,2.45,2.51,2.51,0,1,1,-2.7755575615628914e-17
191,22.9,1,25000.0,1,4.95,79.2,1.0,37.2,0,0,8.0,1.96,1.95,2.01,3,1,1,-2.7755575615628914e-17
